lexid,vin,state
8888090676,1G6DJ5E36C0789812,NC
8888090677,WBALZ5C53CC072379,TX
8888090678,1YVHZ8BH9C5806432,NY
8888090679,WBAVC53568A994500,OH
8888090680,JH4DC53886S659480,VA
8888090681,1G4PP5SK0E4477514,CA
8888090682,JN8AS5MT3AW537822,FL
8888090683,3C6JD7DP3CG332689,PA
8888090684,5GAKVCED8CJ864513,OH
8888090685,SCBLC43F05C729149,CA
8888090686,5NPDH4AE8CH668986,WA
8888090687,WDCGG0EB0FG618773,TX
8888090688,1G4HA5EM2BU042508,KS
8888090689,3VW1K7AJ4BM366734,VA
8888090690,WBA5B1C57FG755219,NY
8888090691,JHMZF1C69FS603911,NC
8888090692,JH4KC1F91FC062704,TN
8888090693,JHMFA3F26AS021537,FL
8888090694,1GYS3AEF6CR674988,CA
8888090695,5XYKT3A13DG854117,IN
8888090696,3GYFNDE37FS357399,FL
8888090697,1N6AA0ED8FN177806,KY
8888090698,1G6DG5E5XD0704343,CO
8888090699,1N4AL3AP7DC340054,WA
8888090700,WAUBF78E88A577975,VA
8888090701,WAUBF78K49N388756,TX
8888090702,JN8AZ1MUXCW498534,LA
8888090703,JH4CL95937C818393,NC
8888090704,JN8AE2KPXC9121814,MA
8888090705,WP1AE2A29EL588306,PA
8888090706,WAUGU44D63N624347,CA
8888090707,WVWGU7AN1AE636811,AL
8888090708,2D4RN4DE7AR945639,KY
8888090709,3C6JR6CT8DG512746,MI
8888090710,3D7TP2CT7BG445317,FL
8888090711,5GAKRCED7CJ737529,FL
8888090712,WA1MYBFE2AD985088,PA
8888090713,1G6DJ5EDXB0670037,GA
8888090714,WBA3R1C52EF263592,AZ
8888090715,KMHTC6AD3DU163888,NC
8888090716,SCFFDABE1CG852237,CO
8888090717,19UUA56992A664815,SC
8888090718,KNADM5A32E6701328,KY
8888090719,KNADH4A35A6728080,CT
8888090720,3N6CM0KN1EK523938,MO
8888090721,WDDGF4HB8CR973319,VA
8888090722,19XFB2F50EE365621,IN
8888090723,JTEBU5JR1D5981595,CA
8888090724,WBA6B2C58ED162107,NY
8888090725,WUAUUAFG9EN888843,AL
8888090726,WAUGGAFR2DA320097,FL
8888090727,2G4WS52J051601665,NY
8888090728,1C6RD6GP4CS605981,CA
8888090729,SCFFDAAE5CG024810,CA
8888090730,1FTNS2EW7AD068196,VA
8888090731,1FMEU3DE9AU095629,GA
8888090732,WDDPK4HA1CF342111,NH
8888090733,1FMJK1G50EE270273,CA
8888090734,KNAFU6A22C5078382,OR
8888090735,3VWML7AJ1EM080113,FL
8888090736,1C3BCBFG9CN284613,MO
8888090737,JH4KB16577C143532,OH
8888090738,1D4RD3GG0BC323677,NY
8888090739,4A31K3DT2AE342409,WI
8888090740,JH4KA96621C111489,MI
8888090741,WBAVS13527F143873,CT
8888090742,1GD311CG8FF151663,TN
8888090743,JN1AZ4EH6BM054224,CA
8888090744,3C63DPML6CG225724,TX
8888090745,3D73M4EL9AG198995,TX
8888090746,JTHBK1GG9F2225329,TX
8888090747,SCFLDCFP6EG992944,TX
8888090748,3GYFK66N76G404244,FL
8888090749,WBA3N7C57EK821328,NJ
8888090750,WBANE53517C231829,NC
8888090751,WVWED7AJ7BW439741,MN
8888090752,WBAUN7C50BV212807,CA
8888090753,1FTEW1C83AK063737,FL
8888090754,1G6AA5RA4F0870646,CA
8888090755,WAUGL68E15A848413,FL
8888090756,JTEBU4BF6DK683334,AL
8888090757,1GYS3KEF1CR824060,OK
8888090758,1GD02ZCG1BF393266,CA
8888090759,KMHCT4AE9DU142377,WA
8888090760,WBAWB33509P054509,FL
8888090761,1FTEX1CW1AK467163,TX
8888090762,WAUKF78E25A692826,PA
8888090763,1C3BC4FB7BN540326,GA
8888090764,1G6AB5SX3D0690213,KS
8888090765,JTEBU4BF5AK487090,CO
8888090766,WAUAF98E65A915442,IA
8888090767,5N1CR2MM1EC415938,IL
8888090768,2T3BF4DV3BW329195,FL
8888090769,5FPYK1F22BB104495,NC
8888090770,4T1BD1FK1EU016666,WI
8888090771,WAUDN74F58N125694,CO
8888090772,JTJBM7FX5D5814192,TX
8888090773,1GYUKHEF4AR053721,NY
8888090774,1G6KD5E62BU298735,CA
8888090775,WAUSH78E87A542023,CO
8888090776,WBALX3C59CC994441,TN
8888090777,WVWAB7AJ0CW979583,OH
8888090778,JTHFE2C24E2860675,MI
8888090779,JN8AS5MT5BW040143,CT
8888090780,3C63DPAL4CG279821,OK
8888090781,137FA90301E506408,CT
8888090782,1G6YV34A055009495,FL
8888090783,3FA6P0LU7DR609117,VA
8888090784,1C4AJWAG1FL469279,OK
8888090785,2LMHJ5AR9AB724733,OK
8888090786,WAUHFAFL3EA343229,NC
8888090787,2C3CCAEG8EH706513,NV
8888090788,WAUJC58E25A050034,FL
8888090789,JTDJTUD36ED685936,PA
8888090790,SCBCP73W48C792295,FL
8888090791,SALGR2VF7FA938330,WA
8888090792,JH4CL958X6C775127,TX
8888090793,JN8AE2KPXB9132147,MN
8888090794,WVGBF7A98AD972710,MN
8888090795,3C3CFFCR6DT261669,KY
8888090796,SCBLF44J47C963064,VA
8888090797,KMHHT6KDXBU962794,TX
8888090798,WBASN4C51CC957472,FL
8888090799,2C3CK5CV4AH963402,TX
8888090800,1GKUKFDJ0AR347492,TX
8888090801,2G4G05GV6B9724969,TX
8888090802,1FMCU5K33AK270909,KS
8888090803,WA1CMAFE0BD395183,DC
8888090804,WAUEL94F45N835784,IL
8888090805,1HGCR2E70FA911101,FL
8888090806,1FMCU4K39AK907022,VA
8888090807,1G6AE5S31D0085241,CA
8888090808,2FMGK5C83FB289415,MA
8888090809,1G4GF5G38EF215474,DC
8888090810,WBALM7C59CE128596,PA
8888090811,1FTSW2B50AE494888,KY
8888090812,WA1VGAFP6EA466569,MD
8888090813,WBA3A5C50DJ600044,NJ
8888090814,WBAYF4C55FD665653,KY
8888090815,1G6AE1R30F0359093,TX
8888090816,5FRYD4H6XEB663364,MI
8888090817,5N1AA0NEXEN264998,TX
8888090818,JN8AS5MT5DW718327,FL
8888090819,JTHBE1KS6B0499497,MT
8888090820,WDDNG9FBXDA664293,SC
8888090821,3D7JB1EK4AG571136,NY
8888090822,3FAHP0DC2AR004044,SC
8888090823,1B3AZ6JZ8AV343767,FL
8888090824,WBAXH5C57CC616502,GA
8888090825,JHMGE8G31DC402563,IL
8888090826,1GYFC53249R628304,MO
8888090827,WA1LFBFP3DA325165,FL
8888090828,1GYS4EEJ9CR824567,KY
8888090829,5TFBW5F16CX667218,PA
8888090830,3GYT4LEF8CG425847,TX
8888090831,3N1CN7AP0EL410586,IN
8888090832,KL4CJCSB7DB574917,CT
8888090833,WAUEFBFL6DN435838,CA
8888090834,WAUWMAFC9FN009066,CO
8888090835,2C3CCARG7EH253110,OH
8888090836,1G6KH5E68BU848640,AL
8888090837,2C3CDXFG1FH926379,OK
8888090838,1G6AP5SX4F0331781,OH
8888090839,SCBZB25EX2C262825,NY
8888090840,SCBZB25E52C345207,OH
8888090841,WAU4GAFB3BN306706,GA
8888090842,JTHBW1GG9E1777700,TX
8888090843,WAUGL78E47A877848,MD
8888090844,WAULT58E04A416144,TX
8888090845,2G61W5S80F9339247,MT
8888090846,YV1960AS6A1464938,NY
8888090847,SCFFDCBD8BG643708,OK
8888090848,WAUHF78P19A955289,CA
8888090849,WAUFMAFC1FN609757,MS
8888090850,SCFBF04BX8G632687,TX
8888090851,KNAFT4A21C5511830,GA
8888090852,1GD312CG5DF171419,DC
8888090853,KM8JT3AF0EU437329,FL
8888090854,1G6DL5E3XC0589610,KS
8888090855,1G4GE5G33FF763550,WI
8888090856,2HNYD18295H870975,RI
8888090857,WUALNAFG6EN790975,CA
8888090858,1FTEX1CV1AF049279,MI
8888090859,WAUPL68E85A050104,CA
8888090860,1GD311CG1FZ616461,GA
8888090861,1C4RDJDG2FC690706,AZ
8888090862,WBAYB6C51FD391729,PA
8888090863,1LNHL9DR0CG840634,MO
8888090864,JH4DC53872C095180,KY
8888090865,3C63D3LL5CG363376,FL
8888090866,JN8AF5MR4DT893551,CO
8888090867,WAUDGAFL1DA290525,DC
8888090868,1C4AJWAG0DL358221,DC
8888090869,2G61P5S33E9520780,IA
8888090870,WBA3N3C53EK206218,LA
8888090871,2FMHK6CT2AB773440,GA
8888090872,WAUHF98P67A681189,DC
8888090873,1G6KF57965U259605,OH
8888090874,5TFBY5F15BX356775,GA
8888090875,WAUVFAFH6CN155695,WI
8888090876,WBAUN13569V363254,FL
8888090877,WBAUN7C58DV049276,MS
8888090878,WAUXG94F29N733337,TX
8888090879,WAURFAFR0AA029024,GA
8888090880,3N1BC1AP1AL999589,MI
8888090881,SCBBR93W58C973343,CA
8888090882,1G6DC5EG2A0375100,VA
8888090883,WAUDL94F55N222469,NY
8888090884,3CZRE3H5XBG027046,TX
8888090885,1FMJK1H5XBE170532,FL
8888090886,1FTMF1CW8AK927336,VA
8888090887,VNKKTUD34FA282200,VA
8888090888,WAUKH98EX6A434089,NJ
8888090889,2T1BURHE2FC213645,MT
8888090890,WAULT64B04N023285,LA
8888090891,3D73M4EL6BG923177,TX
8888090892,WAUBF98E48A214049,FL
8888090893,1FMCU4K30BK697959,CA
8888090894,19UUA9F57CA572592,CA
8888090895,1GD021EG4FZ358949,LA
8888090896,JN1BY1AP9EM728597,NY
8888090897,JTHCL5EF5F5570732,DE
8888090898,1GYFK66898R210683,NY
8888090899,1N6AF0LX9FN711734,AZ
8888090900,2C3CDXDT8CH055766,CA
8888090901,1C4RDHAG8EC008665,TX
8888090902,WDDHF5KB4EA378830,FL
8888090903,WBA3B3G57EN649179,NY
8888090904,JA4AS2AW8BU576874,PA
8888090905,3C6TD5DT9CG717684,FL
8888090906,1C6RD6KPXCS226698,CA
8888090907,WBAPN7C55AA383698,VA
8888090908,SCBDP3ZA9AC140903,NY
8888090909,WA1EFCFS2FR132495,CO
8888090910,YV4952CY7E1289303,CA
8888090911,1G4GB5GR0EF166559,IA
8888090912,WBAHN03588D183483,FL
8888090913,WBAGL63595D305932,NC
8888090914,1GYS4MKJ5FR074037,OK
8888090915,5N1AZ2MGXFN865742,PA
8888090916,1GYEC63898R291987,FL
8888090917,2C3CDXEJ2CH547481,FL
8888090918,1HGCR2E32FA036312,TX
8888090919,WVWAP7ANXEE564607,CO
8888090920,SCBBR93W69C354090,MO
8888090921,WAUHMBFC4EN819377,MD
8888090922,WBALZ3C58CD878247,TX
8888090923,WAUAFAFL4EN107148,FL
8888090924,1N6AA0CC1AN269049,AL
8888090925,NM0KS6BN8AT929977,CA
8888090926,5N1AR2MM1FC328002,NM
8888090927,WAUKH98E68A409886,FL
8888090928,JTEBU5JRXD5597010,TX
8888090929,1FMJK1HT6FE120313,OH
8888090930,WAUDG98E66A897519,NY
8888090931,WBANE73577B501907,CT
8888090932,WBAYG6C52FD868413,CA
8888090933,SCFFDCBD7CG409402,OH
8888090934,1FTMF1CW1AK304365,AL
8888090935,1FMHK7B88BG618663,NC
8888090936,WBALW7C53ED284538,VA
8888090937,WA1CM94L09D841388,DC
8888090938,JN8AF5MR4FT828136,HI
8888090939,WAUHFAFL6CA940484,TX
8888090940,1C3BC5ED6AN445523,GA
8888090941,1FBNE3BL6DD225037,CA
8888090942,WBAFU9C58CC662516,FL
8888090943,5N1BA0ND0FN917884,IA
8888090944,JA4AP3AU1CZ363906,IA
8888090945,WAUDT48H54K937248,MO
8888090946,5TFBM5F13AX843449,HI
8888090947,WDDGF4HB4CF293371,CA
8888090948,SAJWA0FB1CL827090,DC
8888090949,5UMDU93507L178433,TX
8888090950,1G6DA8EY6B0803669,CA
8888090951,3D73Y3HL2BG676489,NY
8888090952,WBA3C3G51FN785340,NY
8888090953,WDDGF4HB0DA947815,OK
8888090954,5FRYD3H89FB717556,CA
8888090955,1GD12YEG4FF479088,DC
8888090956,WD3PE7DC7F5513054,NC
8888090957,1HGCP2E85AA001533,LA
8888090958,1G6AJ5S34E0616204,MD
8888090959,WDDGF4HB6EG633679,MA
8888090960,WVWAW7AH2BV975086,MO
8888090961,1C6RD7MT5CS453023,TX
8888090962,1N6AF0LY3EN356051,TX
8888090963,WAUBT48H15K980431,DC
8888090964,1G4GH5G38CF146230,NC
8888090965,KMHFC4DD6BA401454,OH
8888090966,19UUA56682A063272,IA
8888090967,WAUFGBFCXDN934157,CA
8888090968,1C4SDJET2CC407360,IA
8888090969,1G4GE5G31FF592443,CA
8888090970,WBADS33493G140939,KS
8888090971,4T1BK1EB0FU795051,ME
8888090972,WAUYGBFC5DN586938,MD
8888090973,4T1BF1FK2EU029758,MI
8888090974,WP0CB2A85CS648238,CA
8888090975,YV4952CY6E1998367,NY
8888090976,W04GN5EC5B1359786,OH
8888090977,WBAPH73549A808976,FL
8888090978,1GKS1FFJ0BR441400,WI
8888090979,2G4GR5EC6B9787030,CA
8888090980,YV4902DZ3B2278181,PA
8888090981,WAUKH74F86N705811,TX
8888090982,3VW507AT6FM216140,MN
8888090983,WA1WMBFE2DD656769,FL
8888090984,SCFFDAAE9AG675256,VA
8888090985,WBAVB735X7F830196,TX
8888090986,WBANF735X6C144079,CA
8888090987,1GYEE637360572265,NC
8888090988,JN1CV6EK1AM084774,AZ
8888090989,1G6AA5RX8E0806709,CA
8888090990,JN8AZ1MU4CW870997,DE
8888090991,WAUEF78E38A662445,IN
8888090992,WAUPL58E55A202804,WI
8888090993,5N1BA0NC0FN645800,IA
8888090994,19UUA56992A081855,CO
8888090995,1G6AL5SX7E0658511,CA
8888090996,5UXWX9C59D0570195,AZ
8888090997,JN8AF5MR7ET095143,DC
8888090998,JN8AF5MR4DT065788,TX
8888090999,WBAVB33556P094835,OK
8888091000,1GT02ZCG3EF429791,TX
8888091001,1G4HD572X8U235999,CA
8888091002,1FMJK1FT4FE795113,UT
8888091003,WBAFR1C51BD325990,PA
8888091004,1N6BF0KXXFN587639,MN
8888091005,WAUKH94F56N632957,FL
8888091006,WA1AV74L87D797551,FL
8888091007,JM1NC2JF6D0812260,MN
8888091008,WAUFFBFL6CN539796,CO
8888091009,JH4KC1F3XEC600648,WA
8888091010,WAUFMAFC8FN583352,NY
8888091011,1GD12YEG9FF570986,KY
8888091012,JTHBF1D23F5823766,WY
8888091013,WAUEKAFB0BN995316,WA
8888091014,3C3CFFHH6DT310031,AZ
8888091015,1B3CB8HB1BD032786,OH
8888091016,WBA4A7C56FD504162,NY
8888091017,WBA3A9G58FN494746,CA
8888091018,JN8AS1MU0AM183285,TX
8888091019,5NPDH4AE5BH148307,CA
8888091020,YV4852CZ0B1584730,VA
8888091021,JM1CW2BL8F0047591,TX
8888091022,2T1BURHE5EC068003,DC
8888091023,1G4PS5SK1E4883543,AZ
8888091024,2G4WB55K131592377,GA
8888091025,3D73Y4HL3BG304598,TX
8888091026,WAUMGBFL5BA994438,CA
8888091027,JH4DC53043C567752,MA
8888091028,WVWED7AJXAW449159,FL
8888091029,2FMGK5DC7AB841865,NC
